GBS.name..Sample.Flowcell.Lane.Well.,Additional.file.1.xlsx..Romay.et.al..2013.,Inbred.name,Source,Accession,Seed.lot,Notes
Ames22750:C07W2ACXX:1:C4,H112,H112,NCRPIS,AMES 22750,01ncab01 SD,
Ames22750:C07W2ACXX:2:C4,H112,H112,NCRPIS,AMES 22750,01ncab01 SD,
Ames22750:D0D0BACXX:1:C4,H112,H112,NCRPIS,AMES 22750,01ncab01 SD,
Ames22750:D0D7RACXX:1:C4,H112,H112,NCRPIS,AMES 22750,01ncab01 SD,
Ames22750:D0D7RACXX:2:C4,H112,H112,NCRPIS,AMES 22750,01ncab01 SD,
Ames22751:81N4HABXX:7:H6,H114,H114,NCRPIS,AMES 22751,98ncab01 SD,
Ames22752:81FENABXX:1:G4,H119,H119,NCRPIS,AMES 22752,98ncab01 SD,
Ames22753:81FE7ABXX:5:A7,H123,H123,NCRPIS,AMES 22753,98ncab01 SD,
Ames22754:81FE7ABXX:5:G3,K55,K55,NCRPIS,AMES 22754,08ncai01 SD,
Ames22755:81FENABXX:7:G5,N197,N197,NCRPIS,AMES 22755,98ncab01 SD,
Ames22756:81FE8ABXX:1:E6,Os426,Os426,NCRPIS,AMES 22756,98ncab01 SD,
Ames22757:81N4HABXX:6:F5,Pa405,Pa405,NCRPIS,AMES 22757,00ncab01 SD,
Ames22758:D0D0BACXX:4:F3,T61w.c.,T61w.c.,NCRPIS,AMES 22758,12868,
Ames22759:D0D0BACXX:4:D2,Tx29A,Tx29A,NCRPIS,AMES 22759,12778,
Ames22760:81FE8ABXX:3:G3,Tx71,Tx71,NCRPIS,AMES 22760,09ncei01 SD,
Ames22761:81N4HABXX:5:G8,Tx81,Tx81,NCRPIS,AMES 22761,09ncei01 SD,
